playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,start_sector,end_sector,playerName
22870,LCF,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,342,82,571.32,315.32,Label67,30.29,9,5,M. Fabian
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,331,63,528.32,489.32,Label53,21.79,9,9,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,331,63,528.32,489.32,Label53,21.79,9,9,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,331,63,528.32,489.32,Label53,21.79,9,9,H. Seferovic
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,233,217,604.32,60.32,Label50,46.64,9,1,M. Stendera
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,233,217,604.32,60.32,Label50,46.64,9,1,M. Stendera
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,233,217,604.32,60.32,Label50,46.64,9,1,M. Stendera
206101,LCM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,1236,1289,356.32,476.32,Label93,11.13,8,12,G. Waldschmidt
206101,LCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1236,1289,356.32,476.32,Label93,11.13,8,12,G. Waldschmidt
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,1140,1285,471.32,553.32,Label98,13.6,12,12,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,1140,1285,471.32,553.32,Label98,13.6,12,12,H. Seferovic
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,1140,1285,471.32,553.32,Label98,13.6,12,12,H. Seferovic
39442,RCB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1224,1285,422.32,402.32,Label65,5.19,8,8,C. Zambrano
39442,RCB,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,1224,1285,422.32,402.32,Label65,5.19,8,8,C. Zambrano
77888,RCF,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,1157,1280,440.32,498.32,Label97,11.06,8,12,H. Seferovic
