playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,distance,poss_duration,start_sector,end_sector,playerName,targetName
1770,LW,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,11.98,0.13,9,9,S. Huszti,
1770,LW,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,11.98,0.13,9,9,S. Huszti,
1770,LW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,11.98,0.13,9,9,S. Huszti,
1790,RCM,UDARAC,UDARAC U OKVIR,GLAVOM,0,0,5.81,0.12,5,5,M. Russ,
1790,RCM,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,5.81,0.12,5,5,M. Russ,
16520,RW,UDARAC,UDARAC U OKVIR,GLAVOM,0,0,8.98,0.13,12,8,S. Aigner,
16520,RW,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,8.98,0.13,12,8,S. Aigner,
16520,RW,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,8.98,0.13,12,8,S. Aigner,
1770,LW,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,29.27,0.13,11,12,S. Huszti,
1770,LW,UDARAC,UDARAC IZVAN OKVIRA,ODLICAN,0,0,29.27,0.13,11,12,S. Huszti,
1770,LW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,29.27,0.13,11,12,S. Huszti,
1770,LW,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,29.27,0.13,11,12,S. Huszti,
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,5.54,0.13,8,8,M. Fabian,
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,ODLICAN,0,0,5.54,0.13,8,8,M. Fabian,
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,5.54,0.13,8,8,M. Fabian,
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,5.54,0.13,8,8,M. Fabian,
1802,CAM,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,13.46,0.14,8,8,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,13.46,0.14,8,8,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,13.46,0.14,8,8,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,IZ VOLEJA,0,0,13.46,0.14,8,8,A. Meier,
1790,RCM,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,8.12,0.12,8,8,M. Russ,
1790,RCM,UDARAC,UDARAC U OKVIR,IZ VOLEJA,0,0,8.12,0.12,8,8,M. Russ,
1790,RCM,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,8.12,0.12,8,8,M. Russ,
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,10.57,2.57,12,12,M. Stendera,
199745,LCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,10.57,2.57,12,12,M. Stendera,
1802,CAM,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,18.28,0.13,12,8,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,18.28,0.13,12,8,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,18.28,0.13,12,8,A. Meier,
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,27.31,0.11,11,8,M. Fabian,
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,27.31,0.11,11,8,M. Fabian,
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,27.31,0.11,11,8,M. Fabian,
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,27.31,0.11,11,8,M. Fabian,
22870,ST,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,27.31,0.11,11,8,M. Fabian,
1802,CAM,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,8.21,0.15,8,8,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,IZ VOLEJA,0,0,8.21,0.15,8,8,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,8.21,0.15,8,8,A. Meier,
1802,ST,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,24.67,1.01,10,9,A. Meier,
1802,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,24.67,1.01,10,9,A. Meier,
1802,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,24.67,1.01,10,9,A. Meier,
22870,CAM,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,7.09,0.5,5,5,M. Fabian,
22870,CAM,UDARAC,UDARAC U OKVIR,LOS,0,0,7.09,0.5,5,5,M. Fabian,
22870,CAM,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,7.09,0.5,5,5,M. Fabian,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,6.29,0.39,12,12,S. Aigner,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,6.29,0.39,12,12,S. Aigner,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,6.29,0.39,12,12,S. Aigner,
1802,ST,UDARAC,UDARAC U OKVIR,GLAVOM,0,0,7.77,0.16,12,12,A. Meier,
1802,ST,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,7.77,0.16,12,12,A. Meier,
1802,ST,UDARAC,UDARAC U OKVIR,LOS,0,0,7.77,0.16,12,12,A. Meier,
