ID,gameID,actionStartTime,actionEndTime,actionID,actionOptionID,bindedActionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,actionPosX1,actionPosX2,actionPosY1,actionPosY2,distance,start_sector,end_sector,action_duration,poss_duration
6316922,6308,5051.68,5059.46,247,0,0,199745,TOCNO DODAVANJE,0,0,57720,LCM,ST,7,723,784,357.32,733.32,32.59,7,11.0,7.78,5.75
6316960,6308,5092.34,5094.47,15,248,248,199745,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,1897,LCM,ST,1,952,1113,717.32,408.32,29.47,11,8.0,2.13,0.45
6316962,6308,5092.34,5094.47,261,98,248,199745,IZVODENJE SLOBODNOG UDARCA,NETOCNO DODAVANJE,KOMBINACIJA,1897,LCM,ST,1,952,1113,717.32,408.32,29.47,11,8.0,2.13,0.45
6316982,6308,5097.2,5100.58,15,248,248,39442,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,130205,RCB,RCM,2,863,1103,435.32,544.32,21.42,7,8.0,3.38,1.2
6317015,6308,5107.95,5109.45,247,0,0,206102,TOCNO DODAVANJE,0,0,39442,LW,RCB,1,523,507,657.32,631.32,2.57,6,6.0,1.5,0.87
6317020,6308,5109.45,5111.82,247,0,0,39442,TOCNO DODAVANJE,0,0,8570,RCB,GK,1,496,226,630.32,474.32,25.48,6,5.0,2.37,0.0
6317023,6308,5111.82,5114.38,247,0,0,8570,TOCNO DODAVANJE,0,0,196633,GK,LB,2,219,447,472.32,227.32,27.86,5,2.0,2.56,0.0
6317024,6308,5111.82,5114.38,15,247,247,8570,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,196633,GK,LB,2,219,447,472.32,227.32,27.86,5,2.0,2.56,0.0
6317025,6308,5114.38,5117.73,247,0,0,196633,TOCNO DODAVANJE,0,0,21022,LB,LCB,3,528,409,194.32,375.32,18.22,2,6.0,3.35,1.61
6317028,6308,5117.73,5119.98,247,0,0,21022,TOCNO DODAVANJE,0,0,39442,LCB,RCB,2,412,431,396.32,537.32,12.18,6,6.0,2.25,1.35
6317032,6308,5119.98,5123.8,247,0,0,39442,TOCNO DODAVANJE,0,0,57720,RCB,ST,3,426,601,559.32,752.32,21.71,6,10.0,3.82,1.63
6317051,6308,5132.86,5133.9,247,0,0,40700,TOCNO DODAVANJE,0,0,199745,RCM,LCM,1,631,553,586.32,666.32,9.29,6,6.0,1.04,0.0
6317063,6308,5139.75,5143.13,247,0,0,21022,TOCNO DODAVANJE,0,0,40700,LCB,RCM,1,262,200,424.32,217.32,18.42,5,1.0,3.38,0.0
6317066,6308,5139.75,5143.13,11,95,247,21022,KLIZECI START,TOCNO DODAVANJE,KLIZECI START ODUZETA LOPTA,40700,LCB,RCM,1,262,200,424.32,217.32,18.42,5,1.0,3.38,0.0
6317079,6308,5143.13,5144.75,211,248,248,40700,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,1897,RCM,ST,1,210,201,215.32,141.32,6.38,1,1.0,1.62,0.93
6317112,6308,5149.32,5151.72,211,248,248,39442,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,130205,RCB,RCM,1,190,285,413.32,436.32,7.88,5,5.0,2.4,0.33
6317113,6308,5149.32,5151.72,15,248,248,39442,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,130205,RCB,RCM,1,190,285,413.32,436.32,7.88,5,5.0,2.4,0.33
6317117,6308,5149.32,5151.72,17,301,248,39442,OBRANA OD PROTIVNIKA,NETOCNO DODAVANJE,OTKLONJENA OPASNOST,130205,RCB,RCM,1,190,285,413.32,436.32,7.88,5,5.0,2.4,0.33
6317143,6308,5164.88,5166.33,211,232,232,199745,NIJE IZGUBLJENA,OUT,OUT,0,LCM,0,1,189,256,705.32,820.32,11.23,9,9.0,1.45,0.0
6317145,6308,5164.88,5166.33,11,270,232,199745,KLIZECI START,OUT,KLIZECI ISHOD OUT,0,LCM,0,1,189,256,705.32,820.32,11.23,9,9.0,1.45,0.0
6317224,6308,5221.69,5224.44,247,0,0,196633,TOCNO DODAVANJE,0,0,206102,LB,LW,1,1027,1105,51.32,104.32,7.74,3,4.0,2.75,2.27
6317226,6308,5221.69,5224.44,15,247,247,196633,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,206102,LB,LW,1,1027,1105,51.32,104.32,7.74,3,4.0,2.75,2.27
6317229,6308,5224.44,5225.89,211,232,232,206102,NIJE IZGUBLJENA,OUT,OUT,0,LW,0,1,1110,1071,82.32,38.32,4.9,4,4.0,1.45,0.96
6317230,6308,5224.44,5225.89,15,232,232,206102,LOPTA PO ZRAKU,OUT,OUT,0,LW,0,1,1110,1071,82.32,38.32,4.9,4,4.0,1.45,0.96
6317236,6308,5248.97,5250.32,247,0,0,196633,TOCNO DODAVANJE,0,0,199745,LB,LCM,3,796,806,89.32,154.32,5.62,3,3.0,1.35,0.85
6317238,6308,5250.32,5251.0,247,0,0,199745,TOCNO DODAVANJE,0,0,40700,LCM,RCM,1,802,699,148.32,156.32,8.3,3,2.0,0.68,0.0
6317239,6308,5251.0,5253.16,247,0,0,40700,TOCNO DODAVANJE,0,0,39442,RCM,RCB,3,697,606,174.32,316.32,14.19,2,2.0,2.16,1.33
6317246,6308,5253.16,5257.85,15,248,248,39442,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,171186,RCB,LB,4,635,1060,428.32,461.32,34.26,6,8.0,4.69,2.33
6317247,6308,5253.16,5257.85,211,248,248,39442,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,171186,RCB,LB,4,635,1060,428.32,461.32,34.26,6,8.0,4.69,2.33
6317266,6308,5302.5,5304.82,247,0,0,196633,TOCNO DODAVANJE,0,0,8570,LB,GK,1,283,203,264.32,307.32,7.41,1,1.0,2.32,1.49
